data_hora,cpf,natureza,valor
2022-07-08 15:25:40.654897,11111111111,Entrada,500.0
2022-07-08 15:26:13.712085,22222222222,Entrada,500.0
2022-07-08 15:26:27.647512,33333333333,Entrada,500.0
2022-07-08 15:26:48.366025,44444444444,Entrada,500.0
2022-07-08 15:27:19.548224,44444444444,Saida,100.0
2022-07-08 15:34:04.936537,22222222222,Entrada,100.0
2022-07-08 15:36:07.032836,33333333333,Saida,250.0
2022-07-08 15:46:23.345174,55555555555,Saida,1000.0
2022-07-08 15:46:55.299805,55555555555,Entrada,1050.0
2022-07-08 15:47:06.265302,55555555555,Entrada,250.0
2022-07-08 15:47:18.837745,55555555555,Saida,490.0
2022-07-08 16:14:03.203222,66666666666,Entrada,1000.0
2022-07-08 16:15:30.695114,66666666666,Saida,500.0
2022-07-08 16:42:31.725121,55555555555,Saida,1.0
2022-07-08 16:43:19.360872,55555555555,Saida,2.0
2022-07-08 17:14:15.967166,88888888888,Entrada,5000.0
2022-07-08 17:14:49.371975,88888888888,Saida,100.0
